IPO Date,Symbol,Company Name,IPO Price,Current,Return,Sector,Industry,Country
"Sep 17, 2020",STWO,ACON S2 Acquisition Corp.,10,8.21,0.082,Blank Check / SPAC,Blank Check / SPAC,
"Sep 17, 2020",BNL,"Broadstone Net Lease, Inc.",17,22.27,0.310,Real Estate,Equity Real Estate Investment Trusts (REITs),United States
"Sep 17, 2020",AMWL,American Well Corporation,18,3.315,-0.816,Health Care,Health Information Services,United States
"Sep 17, 2020",RTP,Reinvent Technology Partners,10,10.03,0.100,,,
"Sep 17, 2020",PTVE,"Pactiv Evergreen, Inc.",14,10.06,-0.281,Materials,Containers & Packaging,United States
"Sep 17, 2020",DYN,"Dyne Therapeutics, Inc.",19,8.51,-0.552,Utilities,Independent Power and Renewable Electricity Producers,United States
"Sep 17, 2020",OACB,Oaktree Acquisition Corp. II,10,9.96,-0.004,Blank Check / SPAC,Blank Check / SPAC,United States
"Sep 16, 2020",ENPC,Executive Network Partnering Corporation,25,9.89,-0.604,Financial Services,Shell Companies,United States
"Sep 16, 2020",EQD,Equity Distribution Acquisition Corp.,10,9.91,-0.009,Blank Check / SPAC,Blank Check / SPAC,United States
"Sep 16, 2020",MTCR,"Metacrine, Inc.",13,0.485,-0.963,Health Care,Biotechnology,United States
"Sep 16, 2020",STEP,"StepStone Group, Inc.",18,26.65,0.481,Financial Services,Asset Management,United States
"Sep 16, 2020",SNOW,Snowflake Inc.,120,173.46,0.445,Information Technology,IT Services,United States
"Sep 16, 2020",FROG,JFrog Ltd.,44,22.61,-0.486,Information Technology,Software,United States
"Sep 15, 2020",OM,"Outset Medical, Inc.",27,37.8,0.400,Health Care,Medical Devices,United States
"Sep 15, 2020",SAII,"Software Acquisition Group, Inc. II",10,8.98,0.090,Blank Check / SPAC,Blank Check / SPAC,
"Sep 15, 2020",SBG,Sandbridge Acquisition Corporation,10,8.84,0.088,Blank Check / SPAC,Blank Check / SPAC,
"Sep 11, 2020",BSN,Broadstone Acquisition Corp.,10,10.68,0.068,Blank Check / SPAC,Blank Check / SPAC,United States
"Sep 11, 2020",LEAP,"Ribbit LEAP, Ltd.",10,9.9,-0.010,Financial Services,Shell Companies,United States
"Sep 11, 2020",SNPR,Tortoise Acquisition Corp. II,10,9.3,0.093,Blank Check / SPAC,Blank Check / SPAC,
"Sep 11, 2020",LSPD,"Lightspeed Commerce, Inc.",30.5,21.91,-0.282,Information Technology,Software,Canada
"Sep 11, 2020",TWCT,TWC Tech Holdings II Corp.,10,10.06,0.101,,,
"Sep 10, 2020",PIAI,Prime Impact Acquisition I,10,9.9,-0.010,Blank Check / SPAC,Blank Check / SPAC,United States
"Sep 10, 2020",SVAC,Starboard Value Acquisition Corp.,10,9.55,0.096,Blank Check / SPAC,Blank Check / SPAC,
"Sep 10, 2020",NSH,"NavSight Holdings, Inc.",10,9.41,0.094,,,
"Sep 9, 2020",ITAC,"Industrial Tech Acquisitions, Inc.",10,8.2,0.082,Blank Check / SPAC,Blank Check / SPAC,
"Sep 9, 2020",CRHC,Cohn Robbins Holdings Corp.,10,9.915,-0.009,Financial Services,Shell Companies,United States
"Sep 6, 2020",HEC,Hudson Executive Investment Corp.,10,8.52,0.085,,,
